skos:Concept,skos:inScheme,skos:broader,skos:related,rdfs:label,skos:prefLabel@fr,skos:prefLabel@en,skos:altLabel@fr,skos:altLabel@en,skos:hiddenLabel,skos:definition
DocumentsTypes,MLClassesList,,,Types de document,Types de document,,,,,Liste des types de zones contenues dans les documents d'archives du cadastre (au sens du machine learning)
DoublePage,MLClassesList,DocumentsTypes,,Double page,Double page,,,,,Correspondant à la numérisation d'une double page 
Page,MLClassesList,DocumentsTypes,,Page simple,Page simple,,,,,Correspondant à la numérisation d'une page simple
TableHeader,MLClassesList,DocumentsTypes,,En-tête de tableau,En-tête de tableau,,,,,Correspond à l'entête d'un tableau
TableLine,MLClassesList,DocumentsTypes,,Ligne de tableau,Ligne de tableau,,,,,Correspond à une ligne de tableau
MATArticleDeClassement,MLClassesList,DocumentsTypes,,Ligne de tableau décrivant uniquement un article de classement,,,Ligne de tableau décrivant un état de parcelle,,,Compte foncier au sens document du terme : groupe de ligne associée à un propriétaire dans un folio de la matrice.
MATArticleDeMutation,MLClassesList,DocumentsTypes,,Zone de page correspondant à un article de mutation,,,,,,
MATFolioArea,MLClassesList,DocumentsTypes,,Zone qui est associée à un numéro de folio/article/case,,,,,,
PageClasses,MLClassesList,,,Types de pages,Types de pages,,,,,Liste des classes pouvant être attribuées à une page de registre numérisée.
ETSTabP1,MLClassesList,PageClasses,Page,Tableau principal d'état de section (première page si double page),Tableau principal d'état de section (première page si double page),,,,ets_tab_p1,Première page (avant 1822)/ Page unique du tableau principal d'un registre d'états de sections contenant la description des parcelles listées dans l'ordre croissant de numéro identifiant.
ETSTabP2,MLClassesList,PageClasses,Page,Tableau principal d'état de section (deuxième page si double page),Tableau principal d'état de section (deuxième page si double page),,,,ets_tab_p2,Deuxième page (avant 1822) du tableau principal d'un registre d'états de sections
ETSCover,MLClassesList,PageClasses,Page,Couverture décrivant une section dans un registre d'états de sections,Couverture décrivant une section dans un registre d'états de sections,,,,ets_couv,Page de couverture qui précéde le tableau décrivant les parcelles d'une section donnée appartenant à une commune
ETSIntermediateSummary,MLClassesList,PageClasses,Page,"Récapitulatif intermédiaire (par page, par nature etc)","Récapitulatif intermédiaire (par page, par nature etc)",,,,ets_recap_inter,Page de récapitulatif intermédiaire appartenant à un registre d'états de sections
ETSSummary,MLClassesList,PageClasses,Page,Résumé final d'une section,Résumé final d'une section,,,,ets_resume,Page de résumé situé à la fin d'une partie (section) d'un registre d'états de sections
ETSBlankTab,MLClassesList,PageClasses,Page,Page vide,Page vide,,,,ets_blank,Classe additionnelle. Désigne une page blanche (avec structure pré-imprimée ou non)
MATMainTable,MLClassesList,PageClasses,Page,Page de tableau principal,Page de tableau principal,,,,mat_main_tab,Page contenant un tableau principal dans une matrice
NamedEntityTypes,MLClassesList,,,Types d'entités,Types d'entités,,,,,Correspond aux classes des éléments textuels transcrits dans les documents (champs du formulaire d'annotation)
ETSEntityTypes,MLClassesList,NamedEntityTypes,,Types d'entités présentes dans les états de sections,Types d'entités présentes dans les états de sections,,,,,Entités spécifiques aux états de sections
MATEntityTypes,MLClassesList,NamedEntityTypes,,Types d'entités présentes dans les matrices,Types d'entités présentes dans les matrices,,,,,
PreviousNature,MLClassesList,NamedEntityTypes,,Ancienne nature de la parcelle,Ancienne nature de la parcelle,,,,ancienne_nature,"Entité spécifique aux états de sections du cadastre rénové de la Seine (1835-1845), décrit la nature de la parcelle dans l'état de sections précédent"
PreviousPlotNumber,MLClassesList,NamedEntityTypes,,Ancien numéro de parcelle,Ancien numéro de parcelle,,,,ancien_numero_parcelle,"Entité spécifique aux états de sections du cadastre rénové de la Seine (1835-1845), indique le numéro de la parcelle dans l'état de sections précédent"
Owner,MLClassesList,NamedEntityTypes,,Propriétaire,Propriétaire,,,,identite,Localisation de la parcelle à l'échelle d'un lieu-dit ou d'une adresse
NamedPlace,MLClassesList,NamedEntityTypes,,Lieu-dit ou adresse,Lieu-dit ou adresse,,,,lieu_dit,Propriétaire ou usufruitier de la parcelle
Nature,MLClassesList,NamedEntityTypes,,Nature,Nature,,,,nature,Nature de la parcelle
PlotNumber,MLClassesList,NamedEntityTypes,,Numéro de parcelle,Numéro de parcelle,,,,numero_parcelle,Numéro de la parcelle
OwnerNumber,MLClassesList,NamedEntityTypes,,Numéro de folio du propriétaire,Numéro de folio du propriétaire,,,,numero_proprietaire,Numéro de folio du propriétaire dans la matrice suivant immédiatement l'état de sections
SectionIdentifier,MLClassesList,NamedEntityTypes,,Identifiant de section,Identifiant de section,,,,section,Indentifiant de la section dans laquelle se trouve la parcelle
TakenFrom,MLClassesList,NamedEntityTypes,,Tiré de,Tiré de,,,,tire_de,
PassedTo,MLClassesList,NamedEntityTypes,,Porté à,Porté à,,,,porte_a,
StartTime,MLClassesList,NamedEntityTypes,,Date d'entrée,Date d'entrée,,,,date_entree,
EndTime,MLClassesList,NamedEntityTypes,,Date de sortie,Date de sortie,,,,date_sortie,
TextStyles,MLClassesList,,,Style du texte,,,,,,
CrossedOut,MLClassesList,TextStyles,,Texte barré/rayé,Texte barré/rayé,,,,~~~~,